Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
1,512,64,65536,/data-l/varvara/tmp,/data-l/varvara/plot,487.355,93.073,244.736,15.040,840.205
1,512,64,131072,/data-l/varvara/tmp,/data-l/varvara/plot,482.560,93.132,243.502,14.367,833.563
1,512,64,262144,/data-l/varvara/tmp,/data-l/varvara/plot,485.412,92.834,244.302,15.072,837.622
1,512,128,1024,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
1,512,128,2048,/data-l/varvara/tmp,/data-l/varvara/plot,552.179,94.461,237.946,13.793,898.381
1,512,128,4096,/data-l/varvara/tmp,/data-l/varvara/plot,513.203,95.420,239.779,13.277,861.681
1,512,128,8192,/data-l/varvara/tmp,/data-l/varvara/plot,487.619,94.031,236.744,12.888,831.284
1,512,128,16384,/data-l/varvara/tmp,/data-l/varvara/plot,484.408,93.847,235.356,12.907,826.519
1,512,128,65536,/data-l/varvara/tmp,/data-l/varvara/plot,482.857,94.205,238.097,14.437,829.598
1,512,128,131072,/data-l/varvara/tmp,/data-l/varvara/plot,472.472,93.948,236.351,12.894,815.667
1,512,128,262144,/data-l/varvara/tmp,/data-l/varvara/plot,475.549,93.627,236.188,13.512,818.878
1,1024,16,1024,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
1,1024,16,2048,/data-l/varvara/tmp,/data-l/varvara/plot,559.700,92.759,261.990,16.395,930.846
1,1024,16,4096,/data-l/varvara/tmp,/data-l/varvara/plot,523.280,92.472,263.313,16.514,895.580
1,1024,16,8192,/data-l/varvara/tmp,/data-l/varvara/plot,497.795,92.282,261.238,16.349,867.665
1,1024,16,16384,/data-l/varvara/tmp,/data-l/varvara/plot,492.068,92.507,260.927,16.219,861.723
1,1024,16,65536,/data-l/varvara/tmp,/data-l/varvara/plot,496.498,92.632,263.050,16.556,868.737
1,1024,16,131072,/data-l/varvara/tmp,/data-l/varvara/plot,495.703,92.304,262.502,16.448,866.958
1,1024,16,262144,/data-l/varvara/tmp,/data-l/varvara/plot,486.441,92.562,261.207,16.308,856.519
1,1024,32,1024,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
